Date,Date,Open,High,Low,Close,Volume,RSI,SMA,EMA,MACD,MACD Signal,LB,UB
2020-08-15,2020-08-15,11768.697265625,11963.203125,11768.697265625,11865.6982421875,23354924400,65.97475264279565,10793.85341796875,10987.029572238354,478.97304606506987,515.0169782393135,12117.02191232858,10838.44058767142
2020-08-16,2020-08-16,11866.685546875,11934.9013671875,11737.1884765625,11892.8037109375,20583375490,66.34378088392741,10885.2337890625,11045.46661344475,467.97546741136466,505.60867607372376,12145.409994070456,10900.245572335794
2020-08-17,2020-08-17,11895.658203125,12359.056640625,11806.6962890625,12254.40234375,28227687027,70.88099599000515,10988.412532552084,11123.46246701283,482.87155208183685,501.06125127534636,12224.122335650927,10955.691140911573
2020-08-18,2020-08-18,12251.8955078125,12335.70703125,11954.525390625,11991.2333984375,26043227672,64.1073229735714,11081.926399739583,11179.447688395067,468.04592988041986,494.45818699636106,12249.747634127685,11019.142404934813
2020-08-19,2020-08-19,11990.884765625,12028.923828125,11687.3330078125,11758.283203125,24502851117,58.75488639531815,11168.394791666668,11216.791915151836,432.51363559648416,482.0692767163857,12234.88591944087,11098.71105321538
2020-08-20,2020-08-20,11761.5,11900.4111328125,11710.0634765625,11878.3720703125,20175242945,60.58198904178581,11251.844270833333,11259.474505807362,409.32575186651775,467.5205717464121,12246.831247167116,11142.256252832885
2020-08-21,2020-08-21,11878.0263671875,11899.259765625,11564.9794921875,11592.4892578125,23762425999,54.40343633122179,11320.748470052084,11280.95932851737,363.68845903686815,446.7541492045033,12239.342253102723,11133.034895334777
2020-08-22,2020-08-22,11585.4775390625,11689.4072265625,11448.8056640625,11681.8251953125,20224191306,55.9164492375761,11390.773567708333,11306.821642504154,330.91466099042736,423.5862515616881,12188.774520815172,11246.423721372328
2020-08-23,2020-08-23,11679.6962890625,11713.4296875,11559.9208984375,11664.84765625,18482062658,55.539273338212844,11461.705403645834,11329.920095003885,300.11174304033193,398.89134985741686,12158.519288719275,11318.528855811976
2020-08-24,2020-08-24,11663.689453125,11807.6318359375,11623.25,11774.595703125,20681511755,57.53342563743074,11531.621484375,11358.608843914924,281.31315587241806,375.3757110604171,12108.547753206747,11425.370703824503
2020-08-25,2020-08-25,11773.5888671875,11778.2998046875,11189.8505859375,11366.134765625,26301509932,48.7665950570942,11580.32041015625,11359.094387251058,230.79529164260202,346.45962717685404,12131.69149872814,11364.138188771862
2020-08-26,2020-08-26,11366.89453125,11530.052734375,11296.9931640625,11488.36328125,22466660958,51.164672353480626,11596.90341796875,11367.434315896151,198.3360455107795,316.83491084363914,12132.97633019562,11333.712341679378
2020-08-27,2020-08-27,11485.6083984375,11570.7861328125,11185.94140625,11323.3974609375,23240415076,47.905541287161476,11610.589225260417,11364.593228479464,157.48510580410039,284.9649498357314,12154.257471860079,11284.623680483672
2020-08-28,2020-08-28,11325.2958984375,11545.615234375,11316.4228515625,11542.5,19807127588,52.255573128139,11625.3236328125,11376.071084706595,141.1629469756008,256.20454926370525,12150.043860987947,11267.682701512053
2020-08-29,2020-08-29,11541.0546875,11585.640625,11466.29296875,11506.865234375,17485597759,51.50232353038749,11638.51201171875,11384.509416943267,123.92357688089942,229.74835478714408,12150.193213790191,11250.64594636606
2020-08-30,2020-08-30,11508.7138671875,11715.2646484375,11492.3818359375,11711.505859375,19760127945,55.47189089445641,11651.446647135417,11405.605961616282,125.3293216570637,208.864548161128,12134.501396680347,11249.677216600901
2020-08-31,2020-08-31,11713.306640625,11768.876953125,11598.318359375,11680.8203125,22285928250,54.74825644342861,11648.8208984375,11423.361726189425,122.55458437591551,191.6025554040855,12128.886008705405,11282.322096763346
2020-09-01,2020-09-01,11679.31640625,12067.0810546875,11601.12890625,11970.478515625,27311555343,60.04656273477891,11679.383040364582,11458.659583572366,142.09064875677177,181.70017407462277,12159.393211094099,11290.369288905902
2020-09-02,2020-09-02,11964.8232421875,11964.8232421875,11290.7939453125,11414.0341796875,28037405299,48.33783915850116,11684.97255859375,11455.780525257213,111.38869349596825,167.63787795889186,12160.307559327674,11252.444589109826
2020-09-03,2020-09-03,11407.19140625,11443.0224609375,10182.46484375,10245.296875,31927261555,33.54316739272834,11652.952701822916,11377.68480588578,-7.167537278830423,132.6767949113474,12410.588527350603,10849.806199211896
2020-09-04,2020-09-04,10230.365234375,10663.919921875,10207.9404296875,10511.8134765625,29965130374,38.189122957082716,11611.779069010418,11321.822139477827,-78.7112081341129,90.39919430225534,12473.40635816636,10651.599891833639
2020-09-05,2020-09-05,10512.5302734375,10581.5712890625,9946.67578125,10169.5673828125,44916565292,34.82250144051384,11558.105533854166,11247.483122918773,-161.16863057760565,40.08562932628313,12556.28740295482,10396.39521423268
2020-09-06,2020-09-06,10167.216796875,10353.927734375,10056.8857421875,10280.3515625,37071460174,36.7657611014141,11514.0681640625,11185.087538375627,-215.09786025965877,-10.951068590905251,12514.440116083404,10240.837422979095
2020-09-07,2020-09-07,10280.998046875,10399.1533203125,9916.4931640625,10369.5634765625,33703098409,38.359542646290414,11467.91875,11132.473082774779,-247.78222814505898,-58.317300501736,12477.217229164862,10115.893317710137
2020-09-08,2020-09-08,10369.306640625,10414.775390625,9945.1103515625,10131.5166015625,33430927462,35.76890621531903,11416.444661458334,11067.895245277212,-289.5554040878087,-104.56492121895054,12478.673884898924,9951.760001819826
